User,Tweet
niketaga,matter much support narendramodi campaign congress good importantli manifesto much better bjp thing goe congress top level leadership gandhi famili
chaloo_pandey,next two day modimodi tv space rahul rahul counter master strategist duo modishah mayb get thailand visit telecast may probabl give trp still vote kedarnath badrinath narendramodi
imshaurya1308,best spokesperson bjpnda aajtak republ zeenew jaayegatohmodihi narendramodi rahulgandhi loksabhaelect loksabha aamaadmiparti avsurya dhruvrathe akashbanerje bjp congress modiobsess electionswithndtv electioncommissionofindia
umakantsingh_IN,mamataoffici yadavakhilesh mayawati arvindkejriw hardli care peopl foreign countri rate go time told knew modi dividerinchief rahul dividerno went unit india unit india govt unit parti govt loksabhaelect kedarnath buddhapurnima omar khayyam
nileshsingh33,rahulgandhi bjp opinion pappu narendramodi sadhvipragya
kumardurgesh262,rahulgandhi sir pray bigbroth join hand want leav bjp come congresspleas join us parti sir loksabhaelect near also want work hard electioni request rahulgandhi ji
neerajbhushan,countdown may narendra modi bjp rahul gandhi congress upbeat becom prime minist there dark hors quietli wait sworn vote declar loksabhaeelct
NewsHtn,andhra pradesh chief minist chandrababu naidu slate meet congress presid rahul gandhi sp chief akhilesh yadav bsp supremo mayawati today loksabhaelect
Bhar10duSharma,bjp candid kolkata uttar rahul sinha rais burqa issu ec alleg tmc send male cadr wear burqa cast vote central women forc deploy booth check loksabhaelect bengal kolkata
skshukla01INC,dickdarryl timesnow navikakumar thenewshour anthonysald tamil kpadmarani riarev priyapyadav ranjiton satanicjumla rkhuria mujworld lawyerkhanmd wuntakal incindia rahulgandhi audaciousquest nattashasharrma haftawasooli sanjukta sanjayazadsln jhasanjay sanjaynirupam luvdatta narendramodi beindiya kilafateh simmiahuja rss bjp modi etc faith ideolog mahathma gandhi entir bjp campaiginng pragya thakur tri justifi icon indian cultur sack pragya modihaitohgodsehai loksabhaelect rahulgandhi twitter
PraveenPhilip81,harmeekbhamra ndtv right bco bjp tri chang histori lie next gener becom import speak abt gandhi foundat nation stand need protect gods ideolog must put place period
yaqootrs,mahatma gandhi could father nation pakistan anil soumitra bjp spokesperson madhya pradesh bjp shameonbjp sickbjp
sadanandtikare,rahulgandhi rahulgandhi two god one modi amp anoth gods boost polit energi without big zero issu blow fire media amp social media gods name capitalis cingress fool nation
msjunebug_nivi,must lose faith human human ocean drop ocean dirti ocean becom dirti mahatma gandhi loksabhaelect thebigbangtheori
Amytisd1,incindia last word gandhi u fear person gandhi rememb pinnacl pain amp agoni jai shree ram jai jaaai shree rammm mamataoffici bjpbengal bjpindia narendramodi modi deshkasurajmodi deshkagauravmodi
TalhaJameel89,differ confid overconfid defin rd may elect fightforprimeminist modi rahulgandhi bjp congress electiondairi govern narendramodi rahulgandhi incindia bjpindia
SaiPai9,rahulgandhi sir pleas send list journalist arrang special press confer namo sworn second time bjp
deepanshah13,sagarikaghos narendramodi possibl modi bjp listen peopl simpli hate without reason dont ask rahulgandhi remov kamalnath cm mp dont ask reason give bharat ratna gandhi nehru indiafirst
mai_hun_congres,divid journalist cricket youngster colleg teen sportsmen actor actress friend due countri new age boy niw gandhi pressconfer darpokmodi chowkidarchorhai dividerincheif narendramodi modihaitohgodsehai incmaharashtra
Makebharatmahan,rahulgandhi shame amp incindia dont understand dont want understand gods resdon nick name pappu bjpindia bjp rss
hsmujahid,rahulgandhi realli quit appreci way uve strongli face media amp rais core issu india suffer incompet bjpindia govt thank rahul bhaiya loksabhaelect rahulgandhiinterview modihaitohgodsehai modifloppressconfer truthtopow
KumarReddyCH,rahulgandhi bjpindia believ democraci presid amitshah ji suprem parti pm narendramodi karyakartha parti n presid take question bjp dynast parti like congress famili matter amp democraci mean
umakantsingh_IN,mahatma gandhi wouldv aliveeven yearstoday word terrorismwouldv languag dictionari world emerg world order without gandhi flounder world war pressconfer pressmeet loksabhaelect modionbharat
pkm1999,kishkindha posit parti presid sonia gandhi vi vi posit dr mm rahulgandhi torn cabinet decis paper front tv camera throw stone other sit insid glass hous modi rahulgandhi
Shubham28759999,modi ji pleas answer valid import question instead techniqu lick aam think futur india rahulgandhi abnyayhoga chowkidarchorhai chokidaarchorhai modihaitohgodsehai fakegovern chaluchowkidar rahulgandhi rssurjewala sherryontopp
deshbhakt_tdb,arnabgoswami boycot us speak favour toward bjp leader hate peac india hate rahulgandhi like modi arnab cant digest food without take name rahul gandhi congress abus
DEEPANSHU_1701,mr rahulgandhi prioriti defeat bjp that mean dont love nation india clear alreadi defeat public india wait amp watch rd may near
sarora88,though assassin karamchand gandhi right stand support belief deed ever stand rahulgandhi congress aayegatomodihi
gandhi_today,incindia congress chang dp pic retard world im relat rahulgandhi rahulgandhi nathuramgods ihateyoubro indianelect narendramodi bjpindia mahatma republ
destinationsrik,thing dislik narendramodi blind gandhi bhakti concept poorli model western icon like statu uniti suppress support pragya singh case earn browni point hypocrisi observ protocol overconfid
manonymos,rahulgandhi famous said poverti state mind narendramodi bjp mock look like modi took heart modi visit sever foreign nation use digit camera still talk poor
imjassi16,wt diffrnc btwn rahulgandhi amp narendramodi wen sampitroda said hua hua rahulgandhi public ralli said apologis amp nw wen sadhvipragya say nathuramgods deshbhakt modi tell want forgiv jst copycat othr sardesairajdeep abhisarsharma
Charas_Gaanja,rahulgandhi chewtiya pappu doesnt even know diff bw bjp amp govt india head bjp amit shah head govt pm modi press confrenc call bjp govt india 😂😂😂😂😂 loksabhaelect rahulkakindustan
mainbanugaPM420,fact fact fact guy know ambedkar favour gods kill gandhi support found letter ambedkar modihaitohgodsehai pressconfer modionbharat bjp congresoverd
Mishrankit7,rahulgandhi mayb impract nyay scheme exud desper elect rahulgandhi congress bjp
Realaamaadmi13,modi year start talk acch din vika end peopl defend gandhi killer godhs pressconfer loksabhaelect modihaitohgodsehai
gaur_anubhuti,big push opposit uniti chandrababu naidu meet rahul gandhi around tomorrow newshtn loksabhaelect
RajeshMange2,congress get seat inc rahulgandhi incindia
sauravkol86,peopl ask narendramodi last five year vote congress elect rahul gandhi prime minist say hume pata hain ye kuch nahi karega hey ram
Sally75682464,rampuniyani bdutt gods patriot foolish one wise kill jinnah instead mahtma gandhi bjpindia rssorg loksabhaelect
mssamant,rahulgandhi oh rhyme rahuljiukg class swift decis bjp pragya say sorri cant congress take swift decis worst word even antin mani leader countri need strong govern tit bit cant deliv
SharanRoars,think lose margin badli badli loksabhaelect phase rahulgandhi smritiirani kanhaiyakumar girirajsinghbjp congress bjp cpi exitpol
StartupGiri,rahulgandhi kid grow im tire laugh rahulgandhi congress dear loser incindia plz remov kid presid make new clever presid like aajtak peopl bjpindia amitshah narendramodi bjp
SharanRoars,think lose margin badli badli loksabhaelect phase rahulgandhi shatrugansinha kanhaiyakumar atishiaap bjp congress aap cpi exitpol
vikshi1311,best thing pm narendramodi narendramodi done debat rahul gandhi hell rahulgandhi entitl dynast sld pm countri debat random person capac want debat isnt even leader opposit
PrriyaRaj,unfair complain rahul gandhi media press meet ask difficult question easi one modi rahulgandhi pressconfer narendramodi
jacob3290,sagarikaghos narendramodi narendramodi express view statement unbias fair liber journalist dare ask rahul support tukdetukdegang gang aa jati hai mooh uthak 😏
batrasurendra,vibhoranand absolut right india mother bharat mata mk gandhi husband loksabhaelect
SocioPoliticalW,overheard headlin tomorrow time indian pm conduct pressconfer year without answer question modi bjp rahulgandhi loksabhaelect
