User,Tweet
NudgeIndia,nation india sychoph outnumb liber that modi get reelect loksabhaelect elect
lokayat,kedarnath ke naam pe de de baba basic modi use religion polit gain kedarnath modiinkedarnath loksabhaelect
ravirao83,sitaramyechuri guy problem everyth modi especi anyth that hindu take time look sorri state parti loksabhaelect kedarnath
INC_KONARKKD,rahulgandhi rg next pm india loksabhaelect
OnkarMhaskar,narendramodi silent press confer bhakt chahe tum kuch na kaho main sunn liya modifloppressconfer bhakt bjp
PrakashPnegi,lokeshsharma arvindkejriw play divis polit put blame modi danger integr nation u mean muslim vote shift congress😡😡 simpli like polit divis polit mainbhichowkidar loksabhaelect
dev_muzic,yashwantsinha sadhvi doubt pay said u associ saffron parti long make launch anticampaign rememb entir bjp unlik congress muddi namo support narendramodi
jhambt,bainjal wherev modi goe cameraman follow loksabhaelect
ninadsheth,romilathapar one india top fiction writer call bjp narendramodi paddller myth real danger resid non indian fat foreign fund jihad support
jiturocking2013,sonakshisinha shatrugansinha need nation modi bjp namo
Shasankp2,question sure elect commiss chang vote number evm favor modi bjpindia loksabhaelect freethink akashbanerje dhruvrathe sardesairajdeep nidhi electioncommiss ecisveep
ninadsheth,ugra romilathapar one india top fiction writer call bjp narendramodi peddllar myth real denver resid non indian fat foreign fund jihad support
ninadsheth,hteja romilathapar one india top fiction writer call bjp narendramodi paddller myth real denver resid non indian fat foreign fund jihad support
MundaTatawala,dipaksamanta narendramodi kedarnath proud pm shri narendra modi true indian best pm ever hadh start loksabhaelect campaign aarti varanasi went kedarnathtempl finish wait rdmay modiji tweet india win
ninadsheth,unsubtledesi romilathapar one india top fiction writer call bjp narendramodi paddller myth real denver resid non indian fat foreign fund jihad support
ninadsheth,trueindologyliv romilathapar one dia tip fiction writer call bjp narendramodi paddller myth real denver resid non indian fat foreign fund jihad support
NeerajS13318461,today feel though incindia regim least rowdi ness among section commun reflect n bjp state rule amitshah narendramodi atullondh nanapatol
NeerajS13318461,year bjp rule n state rowdy within commun either manag fund fund bjp domin citi n suburb amitshah narendramodi nanapatol atullondh
MOEMyOwnEvent,buth buth se tmc saff phir ek baar modi sarkar namoagain loksabhaelect build strong india vote nation flower vote bjp wearechowkidar haambhichowkidar
imamitverma,dont know intuit say narendramodi know magic figur bjp alreadi achiev loksabhaelect
sbb_ca,ani luxuri life pm lucki modi model modi jaayegatohmodihi loksabhaelect modelmodi
CaptAKJ,indiatoday narendramodi good pm modi spend time medit kedarnath jitteri amp restless oppn wl get sometim silenc cd b lethal weapon anway th seal bjp amp wid tt hope f oppn loksabhaelect game
mrmishra2001,incindia rahulgandhi parti done good work opposit scam done modi govern opposit period good luck opposit parti forev pappu bhai 😁😀😀raga narendramodi
CaptAKJ,ani wevr media nuff pic th seal pm modi let oppn cri loksabhaelect
sandipoec,ani modi took kedarnath movi seriouslyeven match umbrella 😂 loksabhaelect
Sudhirshetty08,modi govern unemploy serious horribl applic one pm post earlier loksabhaelect maywithtimesnow
HariVimalesh,ye gods hindu terrorist hindu religion geographi narendramodi bodi bjp hindu religion hindu region like amar akbar antoni nation maiamoffici ikamalhaasan
Kalyani125lakhe,rksinha provid free iitje coach facil children opportun profit charit trust narendramodi amitshah patna bjpindia bjpbihar bjp rss rssorg educ
ManuSenva,ensur victori bjp rksinha campaign parti give support rksingh ji contest elect aara parliamentari constitu bjpindia bjpbihar bjp rss rssorg narendramodi amitshah patna
DipantoS,lakh kolkata wit highest attend primeminist narendramodi ralli rd april loksabhaelect bengal modi deshkagauravmodi abkibaarpaar
madhusudan41,congress nonnda region parti like win around seat nonnda region parti quickli come togeth form feder frontcongress spare effort keep modi power justsay loksabhaelect
GaremaJ,modi cant proper press confer pro give photo shoot annoy person countri right bhakt may compet note sick tire modi bjp bjpsedemocracybachao loksabhaelect
omkarmainane,succeed year rule bjp press confer highlight want prove narendra modi actual leader modi know noth capabl need aris modi sidelin easili guy bjp
CadetRegency,ani sign loksabhaelect jumla ecisveep mute support bjp faulti evm modi declar bjpindia elect absolut major modifloppressconfer way may pretenti kedarnath yatra
tfarcdrow,ani press confer modi script one person 😂 loksabhaelect
HashimYJSpeaks,dear opposit protect evm bjp n keep good secur strongroom tom make godimedia predict modi win seat n den start foul play make true incindia buck strong room
puranik_kaushik,polit parti fight gods kill gandhi justifiedit year sinc incid leav focu elect elect bjp congress rahulgandhi narendramodi
sannisinha,train india never time thought chang modi govt narendramodi piyushgoy
CoolRahulBajaj,loksabhaelect deshkagauravmodi apnamodiaayega earlier middlemen use siphon benefit meant poor vulner today jan dhan amp aadhaar ensur benefit flow directli bank account poor happen modi govt namo app
Utsav6589,rahulgandhi dont worri mr gandhi aayega modi hithen give answer okay delhi abhi dur heabki bar phir modi sarkarloksabhaelect narendramodi
KarthikThiru126,situat may rd bjp dedic victori karyakarta amp peopl india oppstn complain defeat due evm narendramodi amitshah blsanthosh ctravibjp bjpindia loksabhaelect modihaitohmumkinhai
pkm1999,rupasubramanya narendramodi amitshah rahulgandhi pm caretak pm bjp press confer bjp karyakarta dai obvious bjp presid leader team narendramodi prime ministeri candid pm make elect
pkm1999,mkvenu pm caretak pm bjp press confer bjp karyakarta dai obvious bjp presid leader team narendramodi prime ministeri candid pm make elect
pkm1999,sumanthraman pm caretak pm bjp press confer bjp karyakarta dai obvious bjp presid leader team narendramodi prime ministeri candid pm make elect
PriyaSogani,india pm modi made respond case logic argu suprem court registri ask saketgokhal narendramodi righttoinform rti supremecourt articl politicsl
peppersprae,firstpost say bjp campaign done dust ex pm still elect mode 😁
pkm1999,tjoseph signifi bjp get no narendramodi leav capit backpack new bjpindia leadership handtak rein modi one time pm amp modi era paranjoygt priyankac
thedevilishere9,ab ki baar modi sarkaar slogan clear indic bjp rss knee man fhrer bjp rss india
ricky4ricardo,first press confer year modi didnt ball take question daddi amit cover narendramodi
Manojku92436379,narendramodi congratul advanc win seat bjp modiaanewalahai
Anadinidhana,yashwantsinha lol ur hous chowkidar son listen word think peopl listen word peopl vote modi go holiday one month dont watch tv oath take ceremoni pm narendramodi jayantsinha phirekbaarmodisarkar
vi_jaykumar,amritabhind bjphimach jairamthakurbjp bjpindia bjym narendramodi amitshah that differ congress amp bjp
Ferraodesigns,brahmin muslim christian happi elect narendra modi despit track record gujarat cm rss bjp muslim christian brahmanc congress rahulgandhi fascism india trump
mehuljain1108,modi birth date th th lok sabha elect may possibl coinstenc break record bjp get seat modionbharat ayegatohmodihi bjp congress congressmuktbharat
vermsnaren,nramind u mr controversi editor chief known spew venom narendramodi bjp seem modiaanewalahai put u tight spot u either run join bandwagon mr dolt wake countri know u pretti well
sumit138,hyderabad tr eliminatior delhi aap qualifi chennai aiadmk elimin final winner mumbai bjp trophi went team whose state bjp govern still doubt modi win may loksabhaelect 😊😊😊
Saffron_Shweta,dear pm narendramodi plz ensur culprit must book kill lot bjp karyakarta tmc rule westbeng savedemocraci modihaitohgodsehai
kritikasrawat25,rahulgandhi keep say nonsens challeng narendramodi debateamp scare itit good modi ignor himw seen kind interview rahulgandhih dumb kid everyth get attent popular kid school
SharonFeb6,tarekfatah rahulgandhi narendramodi bjp monitor complet social media tv channel movi industri youtub video whatsapp cloud digit camera much big deal send journalist sadli bjp amp congress want educ india
thelivingkind1,pm modi care whether forgiv action pragya elect congress rahulgandhi pmmodi ndtvnewsbeep foolingthen
lousybug,discredit loksabhaelect modi ji like win amp bracket categori erdogan putin etc
sasi_21_7,well prime minist modi ji explain year work nation press confer true leader modi ji salut hater gon na hate narendramodi modipressconfer loksabhaelect
gaur_anubhuti,elect commiss crisi deepen elect commission ashok lavasa opt full commiss meet dissent note includ rais question clean chit given pm modi newshtn loksabhaelect electioncommissionofindia
KKTyagi65,bjp namo truli pride india hope go take nation new stint new height bare atal amp shastri ji pm good kith amp kin never focuss much uplift downtrodden let us wish best
PeacefulHind,prime minist shri narendramodi said forgiven pragya singh thakur heart obiovsli love amp respect toward mahatma gandhi q love amp respect genuin definit remov fight elect mutemodi pm modi telegraph
DBhandari14,rahulgandhi congratul u rahulgandhi u tri face someth call interview ur turf phase elect next time u wont politicsso far till nowu ok ok ye importantli aayegatohmodihi narendramodi modi loksabhaelect
Raghubv,watchin indiatoday much funanchor ask q ppl standin q long u wait coz pm pooja say bham bham boleab ki bar modi sarkar n anchor tri move away n ask other say start talkin studio modiinkedarnath bjp
imshaurya1308,best spokesperson bjpnda aajtak republ zeenew jaayegatohmodihi narendramodi rahulgandhi loksabhaelect loksabha aamaadmiparti avsurya dhruvrathe akashbanerje bjp congress modiobsess electionswithndtv electioncommissionofindia
activistshiv,ndtv chowkidar narendramodi jion one side u want pragya singh thakur bjp mp bhopal u never forgiv insult bapuisnt face trial terror charg want make fool deshkagauravmodi modifloppressconfer
umakantsingh_IN,mamataoffici yadavakhilesh mayawati arvindkejriw hardli care peopl foreign countri rate go time told knew modi dividerinchief rahul dividerno went unit india unit india govt unit parti govt loksabhaelect kedarnath buddhapurnima omar khayyam
FilmiChat,press confer confirm one thing modi doesnt real power belong amit shah failur narendramodi amitshah
newsbluntmedia,pm narendramodi accompani bjp nation presid amitshah press confer took place bjp headquart delhi loksabhaelect
_dagalti,modi said cant forgiv pragya thakur heart still parti didnt sack your underneath defin rachel daw batman begin batman da😂 pragyathakur bjp modipressconfer
kumardurgesh262,narendramodi siri prayer pleas read tweet read tweet understand pain sir join us partyand promis leav bjp till diejust listen shri narendramodi ji
Vikasguptabjp,member campaign also wrote articl rebutt differ popular media platform bust neg fals propaganda modi sarkar academicsnamo narendramodi narendramodi pmoindia
neerajbhushan,countdown may narendra modi bjp rahul gandhi congress upbeat becom prime minist there dark hors quietli wait sworn vote declar loksabhaeelct
umakantsingh_IN,ysjagan tell along modirahul fight modi cant stop qualiti admir get inspiredeven get defeat result go himalaya rediscov lost kedarnath loksabhaelect lord buddha
HappaNarinder,prime minist narendramodi open remark first appear press confer assertedthat sinc came power bjp come back power full major pm refus take question cite parti disciplin
NeetFiles,spalani satta matka session pm press meet yesterday booki would lost 😂 turn amitshah press confer loksabhaelect modi hai toh mumkin hai modiaanewalahai muglikar
Cdhar7,abhishekbjp swadesh kumarnandaj rameshavadh jagrannew pmoindia narendramodi amitshah bjpindia bjpup drdineshbjp meet supervisor bjp cooli troll factori produc hate troll abus anatomi selfi buttondabaodeshbachao
FCSJigarShah,jainbalw btw modi press confer attend offici bjp pc bjp presid took question discuss strategi amit shah parti presid took question conclus elect campaign modi made clear media dont matter
VINEET1966,bjpmaharashtra pmoindia devfadnavi narendramodi time flee countri sake one children cast rule quota meritocraci sacrif altar appeas polit claim bjp fair citizen hollow amp fals
aanunim,trust narendra modi either find way make one pm nda thank crore indian win seat th ls elect narendramodi narendramodi bjpindia amitshah tejasvisurya
umakantsingh_IN,happi buddhapurnima indian economi perhap longcircuit fire modi shortcircuit fire rahul countri go middlecircuit loksabhaelect varanasi
actindia,bjp alreadi got mandat form govern pm modi interject bjp nation presid amit shah press confer bjplive bjpindia bjppath chikchirp amitshah narendramodi pmoindia loksabhaelect deshkagauravmodi
Shivauggera,profhariom narendramodi guess bjp alon
skshukla01INC,dickdarryl timesnow navikakumar thenewshour anthonysald tamil kpadmarani riarev priyapyadav ranjiton satanicjumla rkhuria mujworld lawyerkhanmd wuntakal incindia rahulgandhi audaciousquest nattashasharrma haftawasooli sanjukta sanjayazadsln jhasanjay sanjaynirupam luvdatta narendramodi beindiya kilafateh simmiahuja rss bjp modi etc faith ideolog mahathma gandhi entir bjp campaiginng pragya thakur tri justifi icon indian cultur sack pragya modihaitohgodsehai loksabhaelect rahulgandhi twitter
dilip_ganatra,sagarikaghos narendramodi madam bjp dynast parti like congress one man show constitut disciplinari committe take cognis happi idea peopl ground think comment
hns198387,muglikar narendramodi prasadkarwa bjp bless indebt lac samarthit karyakarta like
ptnkant,modi coward psychopath loksabhaelect modifloppressconfer modihaitohgodsehai
Dinuraghubansi,loksabhaelect bjp devlop saftey secur nationalist ideolog modi nda modi plu ideolog congress modi dress modi degre modi mother modi upa cast drama slang modi
vipulsailor,economictim dont even consid right candid stand debat modi th grade student rahulgandhi rafal loksabhaelect live
NewsCollector09,creat law enough keep tool safeguard law necessari use tool would help achiev develop nation clean nation mission pleas arrang law enforc look clean india mission request pm modi narendramodi
NaveenJolly,indiaelect narendramodi pragyathakur pragya overshadow mp state bjp leader year modi modi go activ pursu nobel peac prize nd term paint entir india gandhi
mukuljrsharma,fight whole time modi vs mamata banerje west bengal elect rememb bengal power tussl dessert roshogulla mud cours loksabhaelect
suresh15021941,newstvchannel narendramodi bjpindia sadhvipragyamp amitshah either take action sadhvi pragya thakur bjp may face cancel registr polit parti elect commiss india indian constitut base gandhian philosophi life ec constitutionofindia bjp nathuramgods mahatmagandhi
TalhaJameel89,differ confid overconfid defin rd may elect fightforprimeminist modi rahulgandhi bjp congress electiondairi govern narendramodi rahulgandhi incindia bjpindia
Scorpion1007,indiatoday mani kill narendramodi godhra last year pathet bjp clown
irrfansaifi,never abl forgiv sadhvi pragya narendramodi modi ji take big decis like demonet gst surgic strike etc stop kick terrorist pragyasinghthakur frm bjp pressconfer modifloppressconfer
Tweet_NathanPS,newstamilnadu give list year achiev amitshah pmoindia bjpindia pmmodi amitshah bjp
mogmbokabhatija,narendra modi narcissist prime minist answer question person self direct vital question today press confer amit shah bjp pressconfer indianelect
ayusharya14,maunmodi modifloppressconfer loksabhaelect hater troll modi silent pc let clear pc shah modi accompani hater say modi shah kind what matter answer
D1Finger,saal mein kuch badla ho ya nah ho pm chang sure unabl speak without prior question share bjp pressconfer
deepanshah13,sagarikaghos narendramodi possibl modi bjp listen peopl simpli hate without reason dont ask rahulgandhi remov kamalnath cm mp dont ask reason give bharat ratna gandhi nehru indiafirst
sudhaShenoy1,brijeshsutaria bjpmaharashtra bjpindia pmoindia cmomaharashtra devfadnavi abpmajhatv tvmarathi cnbctvnew toiindianew narendramodi rashtrapatibhvn httweet incmaharashtra bjpmaharashtra fool bhakt like us hope captur maratha vote bank never trust bjp soon lose fort murderofmerit notmycm devendrafadnav
YaaruDaHindu,amitshah show nation who boss narendramodi accept fact pm bjp parti member suppos silent parti head speak pressconfer
KaustubhMehta97,modi say forgiv pragyasinghthakur call gandhi killer gods deshbhakt forgiv made withdraw candidatur loksabhaelect modihaitohgodsehai
KumarReddyCH,rahulgandhi bjpindia believ democraci presid amitshah ji suprem parti pm narendramodi karyakartha parti n presid take question bjp dynast parti like congress famili matter amp democraci mean
Shubham28759999,modi ji pleas answer valid import question instead techniqu lick aam think futur india rahulgandhi abnyayhoga chowkidarchorhai chokidaarchorhai modihaitohgodsehai fakegovern chaluchowkidar rahulgandhi rssurjewala sherryontopp
terence_fdes,malinip wah modi wah almost week narendramodi dictat amp narr rake histori gt nehru vadra amp back gods pliabl media loksabhaelect noth spoke futur 😢 opposit lost mess buri
Me00957360,narendramodi namoagain nt jst anoth pm modi sir u name chang action youth new way develop loksabhaelect narendramodi huge respect u n plan countri
deshbhakt_tdb,arnabgoswami boycot us speak favour toward bjp leader hate peac india hate rahulgandhi like modi arnab cant digest food without take name rahul gandhi congress abus
RajeevPRranjan,bjp support indian earlier think bjp good countri favour today press confer felt heart pm modi ji isnt press confer
KumarReddyCH,bjpindia believ democraci presid amitshah ji suprem parti pm narendramodi karyakartha parti n presid take question bjp dynast parti like congress famili matter amp democraci mean
firensour1011,thehindu digitalcamera email cloud cover balakotairstrik faux pa pmmodi dare answer unscript question loksabhaelect bjp amitshah justask bbcindia btindia indianexpress timesnow republ thehindu
shubhrkhattri,new pm modi hold first press confer ever term prime minist old doesnt take singl question media old old narendramodi pmmodil
